"Last Name","First Name","Nat","Age","Games_Played","Goals","Assists","Salary"
"Jagr","Jaromir","CZE",45,22,1,6,1e+06
"Jankowski","Mark","CAN",23,72,17,8,925000
"Janmark","Mattias","SWE",25,81,19,15,7e+05
"Jarnkrok","Calle","SWE",26,68,16,19,1800000
"Jaros","Christian","SVK",21,2,0,0,730000
"Jaskin","Dmitrij","CZE",24,76,6,11,1e+06
"Jenner","Boone","CAN",24,75,13,19,2900000
"Jensen","Nick","USA",27,81,0,15,8e+05
"Jerabek","Jakub","CZE",26,36,2,6,925000
"Johansen","Ryan","CAN",25,79,15,39,8e+06
"Johansson","Marcus","SWE",27,29,5,9,4750000
"Johns","Stephen","USA",25,75,8,7,8e+05
"Johnson","Erik","USA",29,62,9,16,6e+06
"Johnson","Jack","USA",31,77,3,8,5e+06
"Johnson","Tyler","USA",27,81,21,29,5e+06
"Johnsson","Andreas","SWE",23,9,2,1,842500
"Johnston","Ross","CAN",23,24,3,3,710000
"Jokinen","Jussi","FIN",34,60,5,12,1100000
"Jones","Seth","USA",23,78,16,41,5400000
"Jooris","Josh","CAN",27,40,3,3,775000
"Josefson","Jacob","SWE",26,39,2,2,7e+05
"Josi","Roman","CHE",27,75,14,39,5e+06
"Jost","Tyson","CAN",19,65,12,10,9e+05
"Jurco","Tomas","SVK",25,29,6,4,8e+05
"Juulsen","Noah","CAN",20,23,1,2,925000
"Kadri","Nazem","CAN",27,80,32,23,5e+06
"Kamenev","Vladislav","RUS",21,3,0,0,925000
"Kampf","David","CZE",23,46,4,7,925000
"Kampfer","Steven","USA",29,22,0,1,650000
"Kane","Evander","CAN",26,78,29,25,6e+06
"Kane","Patrick","USA",29,82,27,49,13800000
"Kapanen","Kasperi","FIN",21,38,7,2,832500
"Karlsson","Erik","SWE",27,71,9,53,2e+06
"Karlsson","Melker","SWE",27,71,8,11,1e+06
"Karlsson","William","SWE",25,82,43,35,7e+06
"Kase","Ondrej","CZE",22,66,20,18,720000
"Kassian","Zack","CAN",27,74,7,12,1850000
"Keith","Duncan","CAN",34,82,2,30,5e+06
"Keller","Clayton","USA",19,82,23,42,9e+05
"Kelly","Chris","CAN",37,12,0,2,1250000
"Kempe","Adrian","SWE",21,81,16,21,925000
"Kempe","Mario","SWE",29,18,2,2,650000
"Kempny","Michal","CZE",27,53,3,7,9e+05
"Kerdiles","Nicolas","USA",24,2,0,0,650000
"Kerfoot","Alexander","CAN",23,79,19,24,925000
"Kero","Tanner","USA",25,8,1,2,7e+05
"Kesler","Ryan","USA",33,44,8,6,6675000
"Kessel","Phil","USA",30,82,34,58,9e+06
"Khaira","Jujhar","CAN",23,69,11,10,650000
"Killorn","Alex","CAN",28,82,15,32,4450000
"Klefbom","Oscar","SWE",24,66,5,16,3500000
"Klimchuk","Morgan","CAN",22,1,0,0,832500
"Klingberg","John","SWE",25,82,8,59,3500000
"Kloos","Justin","USA",24,1,0,0,792500
"Koekkoek","Slater","CAN",23,35,4,4,8e+05
